X,Y,OBJECTID,FORMULARIO,CODIGO_ACCIDENTE,FECHA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,GRAVEDAD,CLASE_ACC,LOCALIDAD
-74.136818464,4.65087171400006,402679,A001133390,10510921,2020/02/12 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.171102134,4.62811835000002,402680,A001132519,10510924,2020/02/12 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.147540819,4.63315459400008,402681,A001133513,10510930,2020/02/12 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.058146272,4.66359693000004,402682,A001132646,10510931,2020/02/07 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.052395732,4.66436157100003,402683,A001132954,10510948,2020/02/11 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.1065977929999,4.64963436700003,402684,A001133031,10510955,2020/02/11 00:00:00+00,2020,SOLO DANOS,CHOQUE,TEUSAQUILLO
-74.1415949,4.66848330900007,402685,A001133431,10510957,2020/02/13 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.1352288639999,4.65999791600007,402686,A001133699,10511019,2020/02/13 00:00:00+00,2020,CON HERIDOS,CHOQUE,FONTIBON
-74.059758532,4.66062754400002,402687,A001133807,10511021,2020/02/14 00:00:00+00,2020,CON HERIDOS,CHOQUE,CHAPINERO
-74.04417598,4.76703765500002,402688,A001133279,10511022,2020/02/11 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.069124035,4.67272650100006,402689,A001133406,10511025,2020/02/11 00:00:00+00,2020,SOLO DANOS,CHOQUE,BARRIOS UNIDOS
-74.0770853669999,4.64380131300004,402690,A001133588,10511026,2020/02/14 00:00:00+00,2020,CON HERIDOS,CHOQUE,TEUSAQUILLO
-74.192502329,4.62921596600006,402691,A001133831,10511027,2020/02/14 00:00:00+00,2020,CON HERIDOS,CHOQUE,BOSA
-74.133123843,4.62001661900007,402692,A001132839,10511028,2020/02/12 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.110008851,4.58434416200004,402693,A001132899,10511031,2020/02/14 00:00:00+00,2020,SOLO DANOS,CHOQUE,RAFAEL URIBE URIBE
-74.1153922,4.59248406500006,402694,A001133205,10511033,2020/02/12 00:00:00+00,2020,SOLO DANOS,CHOQUE,ANTONIO NARIÑO
-74.0779920429999,4.68473463200007,402695,A001133078,10511034,2020/02/14 00:00:00+00,2020,SOLO DANOS,CHOQUE,BARRIOS UNIDOS
-74.0394570839999,4.72060219100007,402699,A001133593,10510966,2020/02/13 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.051598396,4.66015834100006,402700,A001133542,10510967,2020/02/11 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.0449266809999,4.68349893500005,402701,A001132728,10510969,2020/02/11 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.1747884169999,4.61454100600002,402702,A001133048,10510971,2020/02/13 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.052669319,4.70664272700003,402703,A001132822,10510973,2020/02/13 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.1953465139999,4.62106918700005,402704,A001133518,10510976,2020/02/12 00:00:00+00,2020,SOLO DANOS,CHOQUE,BOSA
-74.023984765,4.73168551500004,402705,A001132821,10510986,2020/02/14 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.194106979,4.62913519200004,402706,A001135644,10513253,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,BOSA
-74.1076972829999,4.65084327000005,402707,A001135143,10513254,2020/03/04 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.059499339,4.67243837100006,402708,A001135759,10513255,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.074859331,4.72454728000002,402709,A001134734,10513256,2020/03/07 00:00:00+00,2020,CON HERIDOS,CHOQUE,SUBA
-74.112048896,4.63016836600002,402710,A001135815,10513258,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,PUENTE ARANDA
-74.0521051699999,4.66685103400005,402711,A001135592,10513263,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.168603157,4.61810081500005,402712,A001135501,10513268,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,KENNEDY
-74.051723097,4.71900958000003,402713,A001135751,10513269,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,USAQUEN
-74.0628351079999,4.63954855000003,402714,A001135590,10513274,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,CHAPINERO
-74.105806457,4.69597085200007,402715,A001135414,10513295,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,ENGATIVA
